"Protein","Protein Description"
"XP_020601705.1","probable E3 ubiquitin-protein ligase DTX2 isoform X1 [Orbicella faveolata]"
"XP_020601708.1","probable E3 ubiquitin-protein ligase DTX2 [Orbicella faveolata]"
"XP_020601709.1","mediator of RNA polymerase II transcription subunit 19-like isoform X1 [Orbicella faveolata]"
"XP_020601713.1","LOW QUALITY PROTEIN: septin-1-like [Orbicella faveolata]"
"XP_020601714.1","LOW QUALITY PROTEIN: dynein heavy chain 10, axonemal-like [Orbicella faveolata]"
"XP_020601717.1","folate receptor gamma-like [Orbicella faveolata]"
"XP_020601718.1","pre-mRNA-processing factor 19-like [Orbicella faveolata]"
"XP_020601719.1","serine dehydratase-like [Orbicella faveolata]"
"XP_020601720.1","uncharacterized protein LOC110040790, partial [Orbicella faveolata]"
"XP_020601725.1","multidrug resistance-associated protein 4-like [Orbicella faveolata]"
"XP_020601728.1","calmodulin-like [Orbicella faveolata]"
"XP_020601729.1","S-acyl fatty acid synthase thioesterase, medium chain-like [Orbicella faveolata]"
"XP_020601731.1","tachylectin-2-like, partial [Orbicella faveolata]"
"XP_020601733.1","transmembrane protein 180-like [Orbicella faveolata]"
"XP_020601736.1","NADH-ubiquinone oxidoreductase subunit 8-like [Orbicella faveolata]"
"XP_020601737.1","ras-related protein Rab-24-like [Orbicella faveolata]"
"XP_020601743.1","acid trehalase-like protein 1 [Orbicella faveolata]"
"XP_020601751.1","tektin-1-like [Orbicella faveolata]"
"XP_020601758.1","sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1-like [Orbicella faveolata]"
"XP_020601759.1","uncharacterized protein LOC110040830 [Orbicella faveolata]"
"XP_020601760.1","sulfide:quinone oxidoreductase, mitochondrial-like [Orbicella faveolata]"
"XP_020601761.1","uncharacterized protein LOC110040831 [Orbicella faveolata]"
"XP_020601762.1","uncharacterized protein LOC110040832 [Orbicella faveolata]"
"XP_020601763.1","sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1-like [Orbicella faveolata]"
"XP_020601764.1","coadhesin-like [Orbicella faveolata]"
"XP_020601765.1","P-selectin-like, partial [Orbicella faveolata]"
"XP_020601766.1","sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1-like [Orbicella faveolata]"
"XP_020601768.1","fibulin-1-like [Orbicella faveolata]"
"XP_020601771.1","uncharacterized protein LOC110040842, partial [Orbicella faveolata]"
"XP_020601774.1","serine hydrolase-like protein 2 [Orbicella faveolata]"
"XP_020601777.1","inactive dipeptidyl peptidase 10-like [Orbicella faveolata]"
"XP_020601783.1","RNA-binding protein Musashi homolog 2-like [Orbicella faveolata]"
"XP_020601784.1","oxysterol-binding protein-related protein 11-like isoform X1 [Orbicella faveolata]"
"XP_020601786.1","beta-hexosaminidase subunit beta-like [Orbicella faveolata]"
"XP_020601790.1","probable protein S-acyltransferase 23 [Orbicella faveolata]"
"XP_020601793.1","uncharacterized protein LOC110040865 [Orbicella faveolata]"
"XP_020601794.1","zinc transporter ZIP14-like [Orbicella faveolata]"
"XP_020601797.1","prolyl endopeptidase FAP-like [Orbicella faveolata]"
"XP_020601802.1","ribonuclease kappa-like [Orbicella faveolata]"
"XP_020601804.1","protamine-like [Orbicella faveolata]"
"XP_020601809.1","LOW QUALITY PROTEIN: beclin-1-like [Orbicella faveolata]"
"XP_020601810.1","calcium/calmodulin-dependent protein kinase type II delta chain-like isoform X1 [Orbicella faveolata]"
"XP_020601817.1","calcium/calmodulin-dependent protein kinase type II delta chain-like isoform X2 [Orbicella faveolata]"
"XP_020601819.1","calcium-dependent protein kinase C-like [Orbicella faveolata]"
"XP_020601822.1","transmembrane channel-like protein 7 [Orbicella faveolata]"
"XP_020601823.1","tuberin-like [Orbicella faveolata]"
"XP_020601827.1","adenylyl cyclase-associated protein 2-like [Orbicella faveolata]"
"XP_020601829.1","uncharacterized protein LOC110040909 [Orbicella faveolata]"
"XP_020601838.1","alpha-(1,3)-fucosyltransferase 11-like [Orbicella faveolata]"
"XP_020601839.1","putative L-aspartate dehydrogenase, partial [Orbicella faveolata]"
"XP_020601847.1","hydroxyacid oxidase 1-like [Orbicella faveolata]"
"XP_020601850.1","coiled-coil domain-containing protein 65-like [Orbicella faveolata]"
"XP_020601854.1","malectin-like [Orbicella faveolata]"
"XP_020601856.1","uncharacterized protein LOC110040939 [Orbicella faveolata]"
"XP_020601859.1","erlin-1-like [Orbicella faveolata]"
"XP_020601870.1","sodium- and chloride-dependent betaine transporter-like [Orbicella faveolata]"
"XP_020601872.1","sodium- and chloride-dependent GABA transporter 2-like isoform X1 [Orbicella faveolata]"
"XP_020601873.1","sodium- and chloride-dependent GABA transporter 2-like isoform X2 [Orbicella faveolata]"
"XP_020601874.1","sodium- and chloride-dependent GABA transporter 2-like [Orbicella faveolata]"
"XP_020601876.1","microfibril-associated glycoprotein 4-like [Orbicella faveolata]"
"XP_020601880.1","cleavage stimulation factor subunit 3-like [Orbicella faveolata]"
"XP_020601882.1","anoctamin-4-like isoform X1 [Orbicella faveolata]"
"XP_020601887.1","uncharacterized protein LOC110040964 [Orbicella faveolata]"
"XP_020601888.1","protein phosphatase 1 regulatory subunit 12C-like [Orbicella faveolata]"
"XP_020601892.1","uncharacterized protein LOC110040968 [Orbicella faveolata]"
"XP_020601893.1","protein PRRC1-like isoform X1 [Orbicella faveolata]"
"XP_020601894.1","uncharacterized protein LOC110040969 [Orbicella faveolata]"
"XP_020601895.1","WASH complex subunit 3-like isoform X1 [Orbicella faveolata]"
"XP_020601896.1","WASH complex subunit 3-like isoform X2 [Orbicella faveolata]"
"XP_020601898.1","CUGBP Elav-like family member 1 isoform X1 [Orbicella faveolata]"
"XP_020601903.1","carboxypeptidase Q-like [Orbicella faveolata]"
"XP_020601908.1","redox-regulatory protein FAM213A-like [Orbicella faveolata]"
"XP_020601923.1","uncharacterized protein LOC110040989, partial [Orbicella faveolata]"
"XP_020601924.1","coagulation factor XII-like, partial [Orbicella faveolata]"
"XP_020601926.1","intelectin-2-like [Orbicella faveolata]"
"XP_020601942.1","bcl-2 homologous antagonist/killer-like [Orbicella faveolata]"
"XP_020601945.1","nucleoside diphosphate kinase homolog 5-like [Orbicella faveolata]"
"XP_020601952.1","actin-related protein 6-like isoform X1 [Orbicella faveolata]"
"XP_020601956.1","small nuclear ribonucleoprotein E-like [Orbicella faveolata]"
"XP_020601960.1","protein phosphatase 1 regulatory subunit 12A-like isoform X1 [Orbicella faveolata]"
"XP_020601968.1","26S proteasome non-ATPase regulatory subunit 13-like [Orbicella faveolata]"
"XP_020601972.1","uncharacterized protein LOC110041048 [Orbicella faveolata]"
"XP_020601976.1","CUB and zona pellucida-like domain-containing protein 1 [Orbicella faveolata]"
"XP_020601988.1","uncharacterized protein LOC110041064 isoform X1 [Orbicella faveolata]"
"XP_020601993.1","T-complex protein 1 subunit epsilon-like [Orbicella faveolata]"
"XP_020601996.1","propionyl-CoA carboxylase beta chain, mitochondrial-like [Orbicella faveolata]"
"XP_020601998.1","sodium/potassium-transporting ATPase subunit alpha-1-like isoform X1 [Orbicella faveolata]"
"XP_020602000.1","sodium/potassium-transporting ATPase subunit alpha-1-like isoform X2 [Orbicella faveolata]"
"XP_020602001.1","sodium/potassium-transporting ATPase subunit alpha-3-like isoform X3 [Orbicella faveolata]"
"XP_020602002.1","tektin-1-like [Orbicella faveolata]"
"XP_020602003.1","chordin-like protein 1 [Orbicella faveolata]"
"XP_020602006.1","spartin-like isoform X1 [Orbicella faveolata]"
"XP_020602010.1","neuropilin-1-like [Orbicella faveolata]"
"XP_020602011.1","tetratricopeptide repeat protein 28-like [Orbicella faveolata]"
"XP_020602014.1","multidrug resistance-associated protein 1-like [Orbicella faveolata]"
"XP_020602015.1","sodium/potassium-transporting ATPase subunit alpha-1-like [Orbicella faveolata]"
"XP_020602016.1","sodium/potassium-transporting ATPase subunit alpha-like [Orbicella faveolata]"
"XP_020602021.1","succinate--CoA ligase [ADP-forming] subunit beta, mitochondrial-like [Orbicella faveolata]"
"XP_020602027.1","CUB and zona pellucida-like domain-containing protein 1 [Orbicella faveolata]"
"XP_020602028.1","ZP domain-containing protein-like [Orbicella faveolata]"
"XP_020602030.1","transmembrane protein 198-like [Orbicella faveolata]"
"XP_020602034.1","26S proteasome non-ATPase regulatory subunit 1-like [Orbicella faveolata]"
"XP_020602036.1","26S proteasome non-ATPase regulatory subunit 1-like [Orbicella faveolata]"
"XP_020602037.1","protein unc-80 homolog [Orbicella faveolata]"
"XP_020602039.1","ZP domain-containing protein-like isoform X1 [Orbicella faveolata]"
"XP_020602042.1","uncharacterized protein LOC110041108 [Orbicella faveolata]"
"XP_020602043.1","contactin-associated protein-like 2 [Orbicella faveolata]"
"XP_020602045.1","eukaryotic translation initiation factor 3 subunit F-like [Orbicella faveolata]"
"XP_020602047.1","cadherin EGF LAG seven-pass G-type receptor 2-like [Orbicella faveolata]"
"XP_020602050.1","serine/threonine-protein phosphatase 4 regulatory subunit 2-like [Orbicella faveolata]"
"XP_020602063.1","fibropellin-1-like isoform X1 [Orbicella faveolata]"
"XP_020602069.1","protein DD3-3-like isoform X1 [Orbicella faveolata]"
"XP_020602070.1","protein canopy homolog 2-like [Orbicella faveolata]"
"XP_020602071.1","protein DD3-3-like isoform X2 [Orbicella faveolata]"
"XP_020602075.1","disintegrin and metalloproteinase domain-containing protein 10-like [Orbicella faveolata]"
"XP_020602077.1","DELTA-actitoxin-Aeq1a-like [Orbicella faveolata]"
"XP_020602081.1","GTP-binding protein Rheb-like [Orbicella faveolata]"
"XP_020602095.1","E3 ubiquitin-protein ligase RNF123-like [Orbicella faveolata]"
"XP_020602096.1","uncharacterized protein LOC110041158 [Orbicella faveolata]"
"XP_020602101.1","CD63 antigen-like [Orbicella faveolata]"
"XP_020602113.1","unconventional myosin-Ib-like isoform X1 [Orbicella faveolata]"
"XP_020602123.1","uncharacterized protein LOC110041183 [Orbicella faveolata]"
"XP_020602133.1","S-adenosylmethionine synthase-like, partial [Orbicella faveolata]"
"XP_020602134.1","methionine--tRNA ligase, cytoplasmic-like [Orbicella faveolata]"
"XP_020602137.1","putative helicase mov-10-B.1 [Orbicella faveolata]"
"XP_020602141.1","lysosomal alpha-glucosidase-like [Orbicella faveolata]"
"XP_020602142.1","twinfilin-2-A-like [Orbicella faveolata]"
"XP_020602143.1","GRIP1-associated protein 1-like isoform X1 [Orbicella faveolata]"
"XP_020602146.1","uncharacterized protein LOC110041204 [Orbicella faveolata]"
"XP_020602147.1","ras-related protein Rap-2b-like [Orbicella faveolata]"
"XP_020602149.1","uncharacterized protein LOC110041208 [Orbicella faveolata]"
"XP_020602151.1","mannose-1-phosphate guanyltransferase beta-like [Orbicella faveolata]"
"XP_020602153.1","GRIP1-associated protein 1-like [Orbicella faveolata]"
"XP_020602156.1","uncharacterized protein LOC110041215 [Orbicella faveolata]"
"XP_020602158.1","multiple RNA-binding domain-containing protein 1-like [Orbicella faveolata]"
"XP_020602160.1","lipoxygenase homology domain-containing protein 1-like isoform X1 [Orbicella faveolata]"
"XP_020602162.1","nuclear pore glycoprotein p62-like isoform X1 [Orbicella faveolata]"
"XP_020602166.1","dynein assembly factor 3, axonemal-like [Orbicella faveolata]"
"XP_020602167.1","protein phosphatase inhibitor 2-like [Orbicella faveolata]"
"XP_020602168.1","uncharacterized protein LOC110041227 [Orbicella faveolata]"
"XP_020602172.1","epidermal growth factor receptor kinase substrate 8-like [Orbicella faveolata]"
"XP_020602173.1","zinc finger protein 853-like [Orbicella faveolata]"
"XP_020602175.1","cyclin-dependent-like kinase 5 [Orbicella faveolata]"
"XP_020602177.1","plastin-3-like [Orbicella faveolata]"
"XP_020602181.1","BET1 homolog [Orbicella faveolata]"
"XP_020602182.1","LOW QUALITY PROTEIN: 2-amino-3-ketobutyrate coenzyme A ligase, mitochondrial-like [Orbicella faveolata]"
"XP_020602184.1","alpha-2-macroglobulin receptor-associated protein-like [Orbicella faveolata]"
"XP_020602188.1","follistatin-related protein 5-like [Orbicella faveolata]"
"XP_020602190.1","uncharacterized protein LOC110041249 isoform X1 [Orbicella faveolata]"
"XP_020602194.1","protein YIPF3-like [Orbicella faveolata]"
"XP_020602195.1","tRNA (guanine-N(7)-)-methyltransferase-like [Orbicella faveolata]"
"XP_020602198.1","uncharacterized protein LOC110041255 [Orbicella faveolata]"
"XP_020602201.1","uncharacterized protein LOC110041258 [Orbicella faveolata]"
"XP_020602203.1","uncharacterized protein LOC110041259 [Orbicella faveolata]"
"XP_020602205.1","lactoylglutathione lyase-like [Orbicella faveolata]"
"XP_020602213.1","glycine--tRNA ligase-like [Orbicella faveolata]"
"XP_020602222.1","uncharacterized protein LOC110041280 [Orbicella faveolata]"
"XP_020602224.1","uncharacterized protein LOC110041278 [Orbicella faveolata]"
"XP_020602233.1","uncharacterized protein LOC110041292 [Orbicella faveolata]"
"XP_020602234.1","DDB1- and CUL4-associated factor 7-like [Orbicella faveolata]"
"XP_020602236.1","chitinase 2-like [Orbicella faveolata]"
"XP_020602239.1","uncharacterized protein LOC110041299 [Orbicella faveolata]"
"XP_020602245.1","pleckstrin homology domain-containing family F member 2-like [Orbicella faveolata]"
"XP_020602246.1","golgin subfamily A member 4-like [Orbicella faveolata]"
"XP_020602249.1","endochitinase 2-like [Orbicella faveolata]"
"XP_020602261.1","CMP-sialic acid transporter 1-like [Orbicella faveolata]"
"XP_020602264.1","uncharacterized protein LOC110041324 [Orbicella faveolata]"
"XP_020602265.1","serine/threonine-protein kinase pakB-like isoform X1 [Orbicella faveolata]"
"XP_020602267.1","serine/threonine-protein kinase N2-like isoform X3 [Orbicella faveolata]"
"XP_020602268.1","embryonic stem cell-specific 5-hydroxymethylcytosine-binding protein-like [Orbicella faveolata]"
"XP_020602269.1","cilia- and flagella-associated protein 77-like [Orbicella faveolata]"
"XP_020602270.1","universal stress protein A-like protein [Orbicella faveolata]"
"XP_020602277.1","uncharacterized protein LOC110041336 isoform X1 [Orbicella faveolata]"
"XP_020602278.1","uncharacterized protein LOC110041336 isoform X2 [Orbicella faveolata]"
"XP_020602281.1","uncharacterized protein LOC110041341 [Orbicella faveolata]"
"XP_020602292.1","uncharacterized protein LOC110041355 [Orbicella faveolata]"
"XP_020602294.1","tubulin alpha-1A chain isoform X1 [Orbicella faveolata]"
"XP_020602298.1","serine/arginine-rich splicing factor 7-like [Orbicella faveolata]"
"XP_020602302.1","complement C3-like [Orbicella faveolata]"
"XP_020602303.1","BTB/POZ domain-containing protein 19-like [Orbicella faveolata]"
"XP_020602304.1","tachylectin-2-like [Orbicella faveolata]"
"XP_020602313.1","uncharacterized protein LOC110041372 [Orbicella faveolata]"
"XP_020602314.1","prominin-1-A-like [Orbicella faveolata]"
"XP_020602317.1","adenylate kinase 8-like [Orbicella faveolata]"
"XP_020602322.1","uncharacterized protein LOC110041383 [Orbicella faveolata]"
"XP_020602326.1","cytochrome P450 3A24-like [Orbicella faveolata]"
"XP_020602329.1","low-density lipoprotein receptor-related protein 4-like [Orbicella faveolata]"
"XP_020602345.1","ATP-dependent RNA helicase DDX51-like [Orbicella faveolata]"
"XP_020602364.1","uncharacterized protein LOC110041425 [Orbicella faveolata]"
"XP_020602366.1","uncharacterized protein LOC110041426 [Orbicella faveolata]"
"XP_020602376.1","cuticle collagen 1-like [Orbicella faveolata]"
"XP_020602378.1","uncharacterized protein LOC110041432 isoform X2 [Orbicella faveolata]"
"XP_020602387.1","E3 ubiquitin-protein ligase DZIP3-like [Orbicella faveolata]"
"XP_020602393.1","titin-like isoform X1 [Orbicella faveolata]"
"XP_020602395.1","Down syndrome cell adhesion molecule homolog, partial [Orbicella faveolata]"
"XP_020602396.1","cytochrome P450 3A24-like [Orbicella faveolata]"
"XP_020602397.1","neurofilament medium polypeptide-like [Orbicella faveolata]"
"XP_020602400.1","coatomer subunit delta-like [Orbicella faveolata]"
"XP_020602401.1","tumor necrosis factor receptor superfamily member 16-like [Orbicella faveolata]"
"XP_020602402.1","cilia- and flagella-associated protein 45-like [Orbicella faveolata]"
"XP_020602405.1","cyclin-dependent kinase inhibitor 1B-like [Orbicella faveolata]"
"XP_020602406.1","cytochrome P450 3A8-like [Orbicella faveolata]"
"XP_020602407.1","cyclin-dependent kinase inhibitor 1B-like [Orbicella faveolata]"
"XP_020602411.1","alpha-(1,3)-fucosyltransferase 11-like, partial [Orbicella faveolata]"
"XP_020602412.1","26S protease regulatory subunit 6B-like [Orbicella faveolata]"
"XP_020602414.1","phosphatidylinositol-glycan-specific phospholipase D-like [Orbicella faveolata]"
"XP_020602416.1","LOW QUALITY PROTEIN: AMP deaminase 2-like [Orbicella faveolata]"
"XP_020602419.1","omega-amidase NIT2-like [Orbicella faveolata]"
